id,lat,lng,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード
t_travospublic_measure_5m.25997432.202505201245,40.27027784,140.5355556,82,,2110217,1,20250520,1245,9,7,0,0,0,0,0,9,4,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997433.202505201245,40.19166674,140.0327778,82,,2110218,1,20250520,1245,40,0,0,0,0,0,0,45,1,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997434.202505201245,40.21805564,140.2775,82,,2110219,1,20250520,1245,18,4,0,0,0,0,0,13,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997435.202505201245,40.16138894,140.0391667,82,,2110220,1,20250520,1245,7,8,0,0,0,0,0,9,1,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997436.202505201245,40.30694444,140.5725,82,,2110222,1,20250520,1245,3,2,0,0,0,0,0,4,4,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997437.202505201245,39.36220704,140.071293,82,,2110223,1,20250520,1245,15,7,0,0,0,0,0,11,5,0,0,1,0,0,3,202505201245
t_travospublic_measure_5m.25997442.202505201245,40.23000004,140.487951,82,,2110229,1,20250520,1245,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997443.202505201245,40.38333334,140.6033333,82,,2110230,1,20250520,1245,11,6,0,0,0,0,0,9,3,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997444.202505201245,40.4611767,140.6358415,82,,2110231,1,20250520,1245,11,6,1,0,0,0,0,13,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997445.202505201245,40.20138894,140.3794444,82,,2110232,1,20250520,1245,5,1,2,0,0,0,0,10,5,2,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997447.202505201245,40.57220756,140.5234194,82,,2110234,1,20250520,1245,29,3,5,0,0,0,0,41,5,2,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997448.202505201245,40.60483013,140.4990006,82,,2110235,1,20250520,1245,59,2,1,0,0,0,0,0,0,74,0,0,1,0,3,202505201245
t_travospublic_measure_5m.25997451.202505201245,40.6571364,140.5082703,82,,2110240,1,20250520,1245,45,10,1,0,0,0,0,36,6,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997452.202505201245,40.83099502,140.661875,82,,2110249,1,20250520,1245,24,4,2,0,0,0,0,18,2,2,0,1,1,0,3,202505201245
t_travospublic_measure_5m.25997453.202505201245,40.76685915,140.5902386,82,,2110250,1,20250520,1245,36,9,0,0,0,0,0,38,7,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997454.202505201245,40.82438065,140.7354641,82,,2110251,1,20250520,1245,57,4,0,0,0,1,0,118,8,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997455.202505201245,40.79971148,140.7014751,82,,2110252,1,20250520,1245,43,10,0,0,0,0,0,0,0,29,0,0,1,0,3,202505201245
t_travospublic_measure_5m.25997456.202505201245,40.82465668,140.8112526,82,,2110253,1,20250520,1245,12,4,0,0,0,0,0,19,5,0,0,0,0,0,3,202505201245
