地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー
88,,8110120,1,20250628,1705,58,1,0,0,0,0,0,45,4,0,0,0,0,0,3,202506281705,33.543133969132924,133.402808904647,,,,,,,,,,,,
88,,8110130,1,20250628,1705,31,0,0,0,0,0,0,55,3,1,0,0,0,0,3,202506281705,33.7476978963593,132.791587114334,,,,,,,,,,,,
88,,8110131,1,20250628,1705,27,2,0,0,0,0,0,30,0,0,0,0,0,0,3,202506281705,33.793408870729856,134.592427611351,,,,,,,,,,,,
88,,8110140,1,20250628,1705,26,1,0,0,0,0,0,30,1,0,0,0,0,0,3,202506281705,33.63466659400443,134.369745254516,,,,,,,,,,,,
88,,8110142,1,20250628,1705,27,0,0,0,0,0,0,16,1,0,0,0,0,0,3,202506281705,33.74774819013548,134.53964678124,,,,,,,,,,,,
88,,8110150,1,20250628,1705,17,1,0,0,0,0,0,4,1,0,0,0,0,0,3,202506281705,33.54318503179848,134.2936,,,,,,,,,,,,
88,,8110151,1,20250628,1705,22,0,0,0,0,0,0,31,0,0,0,0,0,0,3,202506281705,33.42133103162269,134.025327,,,,,,,,,,,,
88,,8110160,1,20250628,1705,22,1,0,0,0,0,0,34,1,0,0,0,0,0,3,202506281705,33.53924497073882,133.738444460766,,,,,,,,,,,,
88,,8110161,1,20250628,1705,48,2,0,0,0,0,0,43,0,0,0,0,0,0,3,202506281705,33.520916544031145,133.780702650547,,,,,,,,,,,,
88,,8110162,1,20250628,1705,48,4,0,0,0,0,0,46,0,0,0,0,0,0,3,202506281705,33.550342371512876,133.740176352243,,,,,,,,,,,,
88,,8110163,1,20250628,1705,64,5,0,0,0,0,0,56,0,0,0,0,0,0,3,202506281705,33.55352220956595,133.721816021769,,,,,,,,,,,,
88,,8110164,1,20250628,1705,15,1,0,0,0,0,0,12,2,0,0,0,0,0,3,202506281705,33.57127484589016,133.574287891387,,,,,,,,,,,,
88,,8110165,1,20250628,1705,97,6,0,0,0,0,0,54,1,0,0,0,0,0,3,202506281705,33.56026408468244,133.633757829666,,,,,,,,,,,,
88,,8110166,1,20250628,1705,83,3,0,0,0,0,0,67,4,0,0,0,0,0,3,202506281705,33.540965031795295,133.601005,,,,,,,,,,,,
88,,8110167,1,20250628,1705,41,2,0,0,0,0,0,36,2,0,0,0,0,0,3,202506281705,33.5424317654246,133.583077945611,,,,,,,,,,,,
88,,8110170,1,20250628,1705,32,3,0,0,0,0,0,32,1,0,0,0,0,0,3,202506281705,33.485055031714765,133.373125,,,,,,,,,,,,
88,,8110171,1,20250628,1705,34,3,0,0,0,0,0,27,1,0,0,0,0,0,3,202506281705,33.40395558523113,133.288643360137,,,,,,,,,,,,
88,,8110172,1,20250628,1705,26,12,0,0,0,0,0,25,2,0,0,0,0,0,3,202506281705,33.39236677628474,133.278601169586,,,,,,,,,,,,
88,,8110174,1,20250628,1705,29,2,0,0,0,0,0,40,0,0,0,0,0,0,3,202506281705,33.18330330083646,133.144855499267,,,,,,,,,,,,
88,,8110180,1,20250628,1705,6,0,0,0,0,0,0,2,1,0,0,0,0,0,3,202506281705,33.35817590038214,133.253152370452,,,,,,,,,,,,
88,,8110181,1,20250628,1705,22,4,0,0,0,0,0,21,0,0,0,0,0,0,3,202506281705,32.974388919857596,132.933138888889,,,,,,,,,,,,
88,,8110182,1,20250628,1705,19,0,0,0,0,0,0,28,1,0,0,0,0,0,3,202506281705,32.96811114207051,132.872277777778,,,,,,,,,,,,
88,,8110183,1,20250628,1705,12,1,0,0,0,0,0,18,0,0,0,0,0,0,3,202506281705,32.95902780872377,132.776972222222,,,,,,,,,,,,
88,,8110190,1,20250628,1705,12,1,0,0,0,0,0,11,0,0,0,0,0,0,3,202506281705,32.96996536793415,132.68920719623503,,,,,,,,,,,,
88,,8110191,1,20250628,1705,9,0,0,0,0,0,0,16,0,0,0,0,0,0,3,202506281705,33.13903103121127,132.517477,,,,,,,,,,,,
88,,8110192,1,20250628,1705,22,0,0,0,0,0,0,23,2,0,0,0,0,0,3,202506281705,33.14590213224344,132.52205863595,,,,,,,,,,,,
88,,8110200,1,20250628,1705,23,0,0,0,0,0,0,16,1,0,0,0,0,0,3,202506281705,33.325562031483756,132.5285,,,,,,,,,,,,
88,,8110210,1,20250628,1705,115,2,3,0,0,0,0,109,2,3,0,0,0,0,3,202506281705,33.81637909326473,132.744826823472,,,,,,,,,,,,
88,,8110230,1,20250628,1705,43,1,0,0,0,0,0,56,1,0,0,0,0,0,3,202506281705,34.07022914227441,134.461130797863,,,,,,,,,,,,
88,,8110231,1,20250628,1705,41,1,0,0,0,0,0,37,1,0,0,0,0,0,3,202506281705,34.03847794648641,134.520513564348,,,,,,,,,,,,
88,,8110232,1,20250628,1705,48,1,0,0,0,0,0,56,0,0,0,0,0,0,3,202506281705,34.04120064204002,134.531005024909,,,,,,,,,,,,
88,,8110240,1,20250628,1705,50,2,0,0,0,0,0,32,3,0,0,0,0,0,3,202506281705,34.03149633348104,132.829599380493,,,,,,,,,,,,
88,,8110250,1,20250628,1705,48,1,0,0,0,0,0,31,1,0,0,0,0,0,3,202506281705,33.93004373774009,133.094837665557,,,,,,,,,,,,
88,,8111021,1,20250628,1705,41,4,0,0,0,0,0,50,3,0,0,0,0,0,3,202506281705,33.50191403173908,133.309236,,,,,,,,,,,,
88,,8160020,1,20250628,1705,24,8,0,0,0,0,0,29,0,0,0,0,0,0,1,202506281705,33.331092031491806,133.206098,,,,,,,,,,,,
88,,8160030,1,20250628,1705,31,2,0,0,0,0,0,33,1,0,0,0,0,0,1,202506281705,33.23544203135242,133.159939,,,,,,,,,,,,
88,,8160040,1,20250628,1705,35,0,0,0,0,0,0,56,3,0,0,0,0,0,1,202506281705,33.24742026280611,132.570131868124,,,,,,,,,,,,
88,,8160050,1,20250628,1705,46,2,0,0,0,0,0,60,2,0,0,0,0,0,1,202506281705,33.33622666521378,132.557060122489,,,,,,,,,,,,
88,,8160060,1,20250628,1705,40,5,0,0,0,0,0,41,3,0,0,0,0,0,1,202506281705,34.056139032526026,134.588624,,,,,,,,,,,,
88,,8310010,1,20250628,1705,99,1,1,0,0,0,0,91,4,0,0,0,0,0,3,202506281705,34.152121047215225,134.579402804374,,,,,,,,,,,,
88,,8310020,1,20250628,1705,57,6,0,0,0,0,0,53,1,0,0,0,0,0,3,202506281705,34.335875041773484,134.151295423507,,,,,,,,,,,,
88,,8310030,1,20250628,1705,55,3,1,0,0,0,0,75,2,1,0,0,0,0,3,202506281705,33.79997204409725,132.86443054676,,,,,,,,,,,,
88,,8310040,1,20250628,1705,84,4,0,0,0,0,0,99,6,0,0,0,0,0,3,202506281705,34.239532652899726,133.895906209945,,,,,,,,,,,,
88,,8310050,1,20250628,1705,3,0,0,0,0,0,0,12,2,0,0,0,0,0,3,202506281705,33.797668032162,133.760304,,,,,,,,,,,,
88,,8310060,1,20250628,1705,10,0,0,0,0,0,0,13,1,0,0,0,0,0,3,202506281705,33.54154672048833,133.042341470718,,,,,,,,,,,,
88,,8310061,1,20250628,1705,67,1,0,0,0,0,0,66,6,0,0,0,0,0,3,202506281705,33.80675451706518,132.745272070169,,,,,,,,,,,,
88,,8310062,1,20250628,1705,27,1,0,0,0,0,0,30,6,0,0,0,0,0,3,202506281705,33.814776032186245,132.720319,,,,,,,,,,,,
88,,8310070,1,20250628,1705,128,2,0,0,0,0,0,110,1,0,0,0,0,0,3,202506281705,34.0102656781917,134.566428959369,,,,,,,,,,,,
88,,8310080,1,20250628,1705,58,1,0,0,0,0,0,69,2,0,0,0,0,0,3,202506281705,33.9732071371816,134.633932113647,,,,,,,,,,,,
