地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,count,color,上り・交通量,下り・交通量,交通量
82,,2110180,1,20250524,6298,271,0,0,0,0,0,5631,243,0,0,0,0,0,3,38.065333367362896,140.8600833,,,,,,,,,,,,,254,red,6569,5874,12443
82,,2110190,1,20250524,3064,364,0,0,0,0,0,2531,347,0,0,0,0,0,1,38.69140541795727,139.678824,,,,,,,,,,,,,254,red,3428,2878,6306
82,,2110191,1,20250524,1898,78,0,0,0,254,0,3824,338,0,0,0,0,0,3,38.96127130819829,139.8400569,,,,,,,,,,,,,254,red,1976,4162,6138
82,,2110192,1,20250524,8483,296,0,0,0,0,0,8294,340,0,0,0,0,0,3,38.794079918050066,139.83442430000002,,,,,,,,,,,,,254,red,8779,8634,17413
82,,2110193,1,20250524,8926,339,0,0,0,0,0,8812,382,0,0,0,0,0,3,38.787431758044086,139.8346764,,,,,,,,,,,,,254,red,9265,9194,18459
82,,2110194,1,20250524,1647,118,0,0,0,0,0,1809,178,0,0,0,0,0,3,38.69287924795862,139.6478605,,,,,,,,,,,,,254,red,1765,1987,3752
82,,2110195,1,20250524,1746,398,0,0,0,0,0,2125,451,0,0,0,0,0,3,38.61589808788817,139.5797968,,,,,,,,,,,,,254,red,2144,2576,4720
82,,2110196,1,20250524,8625,405,0,0,0,0,0,8588,469,0,0,0,0,0,3,38.83854814808984,139.8486963,,,,,,,,,,,,,254,red,9030,9057,18087
82,,2110197,1,20250524,2879,114,0,0,0,0,0,2972,178,0,0,0,0,0,3,38.71753625798101,139.7594082,,,,,,,,,,,,,254,red,2993,3150,6143
82,,2110198,1,20250524,5272,327,0,0,0,0,0,5163,386,0,0,0,0,0,3,38.71622198797982,139.7565651,,,,,,,,,,,,,254,red,5599,5549,11148
82,,2110199,1,20250524,2126,306,0,0,0,0,0,1764,334,0,0,0,0,0,1,38.60695292787995,139.5878005,,,,,,,,,,,,,254,red,2432,2098,4530
82,,2110201,1,20250524,2667,357,0,0,0,0,0,2278,334,0,0,0,0,0,1,38.666421037934484,139.623761,,,,,,,,,,,,,254,red,3024,2612,5636
82,,2110202,1,20250524,7730,478,0,0,0,0,0,7626,524,0,0,0,0,0,3,39.62387474875015,140.0681964,,,,,,,,,,,,,254,red,8208,8150,16358
82,,2110203,1,20250524,1465,62,0,0,0,0,0,1278,55,0,0,0,0,0,3,39.240899018438185,139.9362623,,,,,,,,,,,,,254,red,1527,1333,2860
82,,2110204,1,20250524,2892,396,0,0,0,0,0,0,0,0,0,0,0,0,3,39.290490888479674,139.9747431,,,,,,,,,,,,,254,red,3288,0,3288
82,,2110205,1,20250524,3138,443,0,0,0,0,0,3042,439,0,0,0,0,0,3,39.11912903833497,139.876447,,,,,,,,,,,,,254,red,3581,3481,7062
82,,2110208,1,20250524,9436,223,0,0,0,0,0,8752,231,0,0,0,0,0,3,39.38953603856155,140.030682,,,,,,,,,,,,,254,red,9659,8983,18642
82,,2110210,1,20250524,10737,536,0,0,0,0,0,11837,600,0,0,0,0,0,3,39.79539903888355,140.0622,,,,,,,,,,,,,254,red,11273,12437,23710
82,,2110212,1,20250524,6460,428,0,0,0,0,0,6629,463,0,0,0,0,0,3,39.718472038824196,140.083211,,,,,,,,,,,,,254,red,6888,7092,13980
